admin0Pcode,admin0Name_en,admin1Pcode,admin1Name_en,admin2Pcode,admin2Name_en,admin3Pcode,admin3Name_en,admin4Pcode,admin4Name_en
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103005,Sammanthranapura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103010,Mattakkuliya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103015,Modara
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103020,Madampitiya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103025,Mahawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103030,Aluthmawatha
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103035,Lunupokuna
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103040,Bloemendhal
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103045,Kotahena East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103050,Kotahena West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103055,Kochchikade North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103060,Jinthupitiya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103065,Masangasweediya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103070,New Bazaar
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103075,Grandpass South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103080,Grandpass North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103085,Nawagampura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103090,Maligawatta East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103095,Khettarama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103100,Aluthkade East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103105,Aluthkade West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103110,Kochchikade South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103115,Pettah
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103120,Fort
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103125,Galle Face
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103130,Slave Island
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103135,Hunupitiya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103140,Suduwella
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103145,Keselwatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103150,Panchikawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103155,Maligawatta West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103160,Maligakanda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103165,Maradana
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103170,Ibbanwala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1103,Colombo,LK1103175,Wekanda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106005,Wadulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106010,Sedawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106015,Halmulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106020,Kotuvila
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106025,Veheragoda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106030,Orugodawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106035,Meethotamulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106040,Welewatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106045,Kittampahuwa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106050,Wennawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106055,Maha Buthgamuwa B
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106060,Kuda Buthgamuwa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106065,Kelanimulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106070,Ambathale
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106075,Mulleriyawa North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106080,Belagama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106085,Kotikawatta East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106090,Maha Buthgamuwa A
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106095,Maha Buthgamuwa C
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106100,Wellampitiya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106105,Kuruniyawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106110,Kolonnawa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106115,Dahampura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106120,Singhapura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106125,Megoda Kolonnawa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106130,Bopetta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106135,Batalandahena
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106140,Kotikawatta West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106145,Mulleriyawa South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106150,Malgama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106155,Udumulla North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106160,Maligagodella
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106165,Rajasinghagama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106170,Udumulla South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106175,Himbutana East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106180,Himbutana West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106185,Malpura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106190,Gothatuwa New Town
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106195,Kajugahawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106200,Gothatuwa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106205,Salamulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106210,Wijayapura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106215,Gajabapura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106220,Madinnagoda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106225,Elhena
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1106,Kolonnawa,LK1106230,Dodamgahahena
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109005,Welivita
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109010,Raggahawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109015,Hewagama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109020,Kaduwela
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109025,Pahala Bomiriya A
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109030,Ihala Bomiriya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109035,Wekewatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109040,Nawagamuwa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109045,Pahala Bomiriya B
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109050,Welihinda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109055,Kothalawala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109060,Mahadeniya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109065,Thalahena North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109070,Malabe North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109075,Thunadahena
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109080,Korathota
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109085,Nawagamuwa South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109090,Batewela
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109095,Ranala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109100,Dedigamuwa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109105,Embilladeniya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109110,Welipillewa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109115,Shanthalokagama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109120,Pore
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109125,Malabe East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109130,Malabe West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109135,Thalangama North B
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109140,Thalahena South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109145,Muttettugoda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109150,Thalangama North A
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109155,Walpola
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109160,Kalapaluwawa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109165,Kotuwegoda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109170,Subhoothipura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109175,Udumulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109180,Battaramulla North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109185,Batapotha
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109190,Pothuarawa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109195,Hokandara North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109200,Oruwala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109205,Athurugiriya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109210,Thaldiyawala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109215,Boralugoda
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109220,Hokandara East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109225,Arangala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109230,Evarihena
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109235,Kumaragewatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109240,Jayawadanagama
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109245,Aruppitiya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109250,Asiri Uyana
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109255,Battaramulla South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109260,Rajamalwatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109265,Pahalawela
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109270,Wickramasinghapura
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109275,Wellangiriya
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109280,Hokandara South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1109,Kaduwela,LK1109285,Athurugiriya South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112005,Jalthara
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112010,Henpita
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112015,Atigala West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112020,Atigala East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112025,Batawala
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112030,Walpita
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112035,Nawalamulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112040,Meegasmulla
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112045,Habarakada North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112050,Mullegama North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112055,Mullegama South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112060,Habarakada South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112065,Panagoda Town
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112070,Henawatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112075,Meegoda North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112080,Panaluwa
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112085,Watareka North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112090,Meegoda South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112095,Godagama North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112100,Panagoda West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112105,Panagoda East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112110,Habarakada Watta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112115,Homagama North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112120,Homagama West
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112125,Homagama South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112130,Galavilawatta North
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112135,Homagama Town
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112140,Homagama East
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112145,Pitipana Town
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112150,Godagama South
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112155,Kurunduwatta
LK,Sri Lanka,LK1,Western,LK11,Colombo,LK1112,Homagama,LK1112160,Gehenuwala
