adminPcode,name,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023
LK1,Western,3018400,3141600,6160000,15
LK11,Colombo,1006200,1047200,2053336,15
LK12,Gampaha,1006100,1047200,2053332,15
LK13,Kalutara,1006100,1047200,2053332,15
LK2,Central,1401400,1458600,2860000,15
LK3,Southern,1293600,1346400,2640000,15
LK4,Northern,539000,561000,1100000,15
LK5,Eastern,862400,897600,1760000,15
LK6,North Western,1293600,1346400,2640000,15
LK7,North Central,646800,673200,1320000,15
LK8,Uva,862400,897600,1760000,15
LK9,Sabaragamuwa,862400,897600,1760000,15
