adminPcode,name,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023
LK1,Western,3080000,3080000,6160000,15
LK11,Colombo,1026668,1026668,2053336,15
LK1103,Colombo,78975,78974,157949,15
LK1103005,Sammanthranapura,2257,2256,4513,15
LK1103010,Mattakkuliya,2256,2256,4512,15
LK1103015,Modara,2256,2256,4512,15
LK1103020,Madampitiya,2256,2256,4512,15
LK1103025,Mahawatta,2256,2256,4512,15
LK1103030,Aluthmawatha,2256,2256,4512,15
LK1103035,Lunupokuna,2256,2256,4512,15
LK1103040,Bloemendhal,2256,2256,4512,15
LK1103045,Kotahena East,2256,2256,4512,15
LK1103050,Kotahena West,2256,2256,4512,15
LK1103055,Kochchikade North,2256,2256,4512,15
LK1103060,Jinthupitiya,2256,2256,4512,15
LK1103065,Masangasweediya,2256,2256,4512,15
LK1103070,New Bazaar,2256,2256,4512,15
LK1103075,Grandpass South,2256,2256,4512,15
LK1103080,Grandpass North,2256,2256,4512,15
LK1103085,Nawagampura,2256,2256,4512,15
LK1103090,Maligawatta East,2256,2256,4512,15
LK1103095,Khettarama,2256,2256,4512,15
LK1103100,Aluthkade East,2256,2256,4512,15
LK1103105,Aluthkade West,2256,2256,4512,15
LK1103110,Kochchikade South,2256,2256,4512,15
LK1103115,Pettah,2256,2256,4512,15
LK1103120,Fort,2256,2256,4512,15
LK1103125,Galle Face,2256,2256,4512,15
LK1103130,Slave Island,2256,2256,4512,15
LK1103135,Hunupitiya,2256,2256,4512,15
LK1103140,Suduwella,2256,2256,4512,15
LK1103145,Keselwatta,2256,2256,4512,15
LK1103150,Panchikawatta,2256,2256,4512,15
LK1103155,Maligawatta West,2256,2256,4512,15
LK1103160,Maligakanda,2256,2256,4512,15
LK1103165,Maradana,2256,2256,4512,15
LK1103170,Ibbanwala,2256,2256,4512,15
LK1103175,Wekanda,2256,2256,4512,15
LK1106,Kolonnawa,78974,78974,157948,15
LK1106005,Wadulla,1717,1717,3434,15
LK1106010,Sedawatta,1717,1716,3433,15
LK1106015,Halmulla,1717,1716,3433,15
LK1106020,Kotuvila,1717,1716,3433,15
LK1106025,Veheragoda,1717,1716,3433,15
LK1106030,Orugodawatta,1717,1716,3433,15
LK1106035,Meethotamulla,1717,1716,3433,15
LK1106040,Welewatta,1717,1716,3433,15
LK1106045,Kittampahuwa,1717,1716,3433,15
LK1106050,Wennawatta,1717,1716,3433,15
LK1106055,Maha Buthgamuwa B,1717,1716,3433,15
LK1106060,Kuda Buthgamuwa,1717,1716,3433,15
LK1106065,Kelanimulla,1717,1716,3433,15
LK1106070,Ambathale,1717,1716,3433,15
LK1106075,Mulleriyawa North,1717,1716,3433,15
LK1106080,Belagama,1717,1716,3433,15
LK1106085,Kotikawatta East,1717,1716,3433,15
LK1106090,Maha Buthgamuwa A,1717,1716,3433,15
LK1106095,Maha Buthgamuwa C,1717,1716,3433,15
LK1106100,Wellampitiya,1717,1716,3433,15
LK1106105,Kuruniyawatta,1717,1716,3433,15
LK1106110,Kolonnawa,1717,1716,3433,15
LK1106115,Dahampura,1717,1716,3433,15
LK1106120,Singhapura,1717,1716,3433,15
LK1106125,Megoda Kolonnawa,1717,1716,3433,15
LK1106130,Bopetta,1717,1716,3433,15
LK1106135,Batalandahena,1717,1716,3433,15
LK1106140,Kotikawatta West,1717,1716,3433,15
LK1106145,Mulleriyawa South,1717,1716,3433,15
LK1106150,Malgama,1717,1716,3433,15
LK1106155,Udumulla North,1717,1716,3433,15
LK1106160,Maligagodella,1717,1716,3433,15
LK1106165,Rajasinghagama,1717,1716,3433,15
LK1106170,Udumulla South,1717,1716,3433,15
LK1106175,Himbutana East,1717,1716,3433,15
LK1106180,Himbutana West,1717,1716,3433,15
LK1106185,Malpura,1717,1716,3433,15
LK1106190,Gothatuwa New Town,1717,1716,3433,15
LK1106195,Kajugahawatta,1717,1716,3433,15
LK1106200,Gothatuwa,1717,1716,3433,15
LK1106205,Salamulla,1717,1716,3433,15
LK1106210,Wijayapura,1717,1716,3433,15
LK1106215,Gajabapura,1717,1716,3433,15
LK1106220,Madinnagoda,1717,1716,3433,15
LK1106225,Elhena,1717,1716,3433,15
LK1106230,Dodamgahahena,1717,1716,3433,15
LK1109,Kaduwela,78974,78974,157948,15
LK1109005,Welivita,1386,1386,2772,15
LK1109010,Raggahawatta,1386,1385,2771,15
LK1109015,Hewagama,1386,1385,2771,15
LK1109020,Kaduwela,1386,1385,2771,15
LK1109025,Pahala Bomiriya A,1386,1385,2771,15
LK1109030,Ihala Bomiriya,1386,1385,2771,15
LK1109035,Wekewatta,1386,1385,2771,15
LK1109040,Nawagamuwa,1386,1385,2771,15
LK1109045,Pahala Bomiriya B,1386,1385,2771,15
LK1109050,Welihinda,1386,1385,2771,15
LK1109055,Kothalawala,1386,1385,2771,15
LK1109060,Mahadeniya,1386,1385,2771,15
LK1109065,Thalahena North,1386,1385,2771,15
LK1109070,Malabe North,1386,1385,2771,15
LK1109075,Thunadahena,1386,1385,2771,15
LK1109080,Korathota,1386,1385,2771,15
LK1109085,Nawagamuwa South,1386,1385,2771,15
LK1109090,Batewela,1386,1385,2771,15
LK1109095,Ranala,1386,1385,2771,15
LK1109100,Dedigamuwa,1386,1385,2771,15
LK1109105,Embilladeniya,1386,1385,2771,15
LK1109110,Welipillewa,1386,1385,2771,15
LK1109115,Shanthalokagama,1386,1385,2771,15
LK1109120,Pore,1386,1385,2771,15
LK1109125,Malabe East,1386,1385,2771,15
LK1109130,Malabe West,1386,1385,2771,15
LK1109135,Thalangama North B,1386,1385,2771,15
LK1109140,Thalahena South,1386,1385,2771,15
